"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.750049115E1,3.607180119E-1,3.206382275E0,9.265607834E0
2.751852673E1,2.368894368E-1,3.223132133E0,9.041280746E0
2.753654852E1,2.703889608E-1,3.232105255E0,9.117850304E0
2.755457836E1,2.656033039E-1,3.198605776E0,9.184849739E0
2.757260577E1,3.320041299E-1,3.226123095E0,9.117252350E0
2.759063537E1,4.133601189E-1,3.253640652E0,9.150752068E0
2.760866412E1,5.228317380E-1,3.262015581E0,9.097511292E0
2.762669403E1,4.420739710E-1,3.272783279E0,9.131608963E0
2.764472229E1,4.713860750E-1,3.333800077E0,9.193224907E0
2.766274823E1,4.857429862E-1,3.333800077E0,9.121439934E0
2.768076464E1,4.707878530E-1,3.291327477E0,9.121439934E0
2.769881024E1,3.613162339E-1,3.278765202E0,9.026325226E0
2.771683380E1,5.742774606E-1,3.232703447E0,9.040681839E0
2.773485473E1,5.748756528E-1,3.280559778E0,9.025727272E0
2.775289526E1,3.888336718E-1,3.240479946E0,8.964710236E0
2.777092529E1,6.831508875E-1,3.198007345E0,9.031110764E0
2.778895752E1,4.073780477E-1,3.192025423E0,9.093324661E0
2.780698376E1,4.923232496E-1,3.133401155E0,9.069993973E0
2.782501117E1,3.738785386E-1,3.139981508E0,9.132207870E0
2.784304138E1,2.596212626E-1,3.107678413E0,9.156135559E0
2.786106866E1,3.409772217E-1,3.139981508E0,9.270393372E0
2.787909826E1,3.020938635E-1,3.053839922E0,9.376275063E0
2.789712670E1,2.638086975E-1,2.992224693E0,9.481559753E0
2.791515618E1,4.055834413E-1,2.923431158E0,9.538987160E0
2.793318316E1,2.297109663E-1,2.911466837E0,9.543772697E0
2.795121472E1,1.633101404E-1,2.916850805E0,9.549157143E0
2.796923876E1,2.201396823E-1,2.892324448E0,9.496515274E0
2.798725756E1,2.147558331E-1,2.854637384E0,9.391230583E0
2.800529992E1,2.333002090E-1,2.830709219E0,9.363115311E0
2.802332940E1,2.991028428E-1,2.820539713E0,9.291330338E0
2.804135803E1,2.039881349E-1,2.773879766E0,9.353543282E0
2.805937292E1,1.752742529E-1,2.735594511E0,9.444471359E0
2.807741607E1,2.129612118E-1,2.730210543E0,9.468399048E0
2.809544592E1,1.417747438E-1,2.721835852E0,9.449854851E0
